season,week,game_id,matchup,home,away,type,pick_team,units,status,result,profit
2025,1,2025_01_DAL_PHI,DAL @ PHI,PHI,DAL,spread,DAL,4.6,GRADED,WIN,4.18
2025,1,2025_01_CIN_CLE,CIN @ CLE,CLE,CIN,spread,CLE,3.2,GRADED,WIN,2.91
2025,1,2025_01_CAR_JAX,CAR @ JAX,JAX,CAR,spread,CAR,2.3,GRADED,LOSS,-2.3
2025,1,2025_01_ARI_NO,ARI @ NO,NO,ARI,spread,NO,3.5,GRADED,LOSS,-3.5
2025,1,2025_01_PIT_NYJ,PIT @ NYJ,NYJ,PIT,total,OVER,4.8,GRADED,WIN,4.36
2025,1,2025_01_NYG_WAS,NYG @ WAS,WAS,NYG,spread,NYG,3.2,GRADED,LOSS,-3.2
2025,1,2025_01_TEN_DEN,TEN @ DEN,DEN,TEN,spread,TEN,4.6,GRADED,WIN,4.18
2025,1,2025_01_BAL_BUF,BAL @ BUF,BUF,BAL,total,UNDER,4.8,GRADED,LOSS,-4.8
2025,2,2025_02_CLE_BAL,CLE @ BAL,BAL,CLE,spread,CLE,3.3,GRADED,LOSS,-3.3
2025,2,2025_02_JAX_CIN,JAX @ CIN,CIN,JAX,spread,JAX,4.6,GRADED,LOSS,-4.6
2025,2,2025_02_JAX_CIN,JAX @ CIN,CIN,JAX,total,UNDER,4.8,GRADED,LOSS,-4.8
2025,2,2025_02_JAX_CIN,JAX @ CIN,CIN,JAX,moneyline,JAX ML,0.1,GRADED,LOSS,-0.1
2025,2,2025_02_CHI_DET,CHI @ DET,DET,CHI,spread,CHI,3.2,GRADED,LOSS,-3.2
2025,2,2025_02_NE_MIA,NE @ MIA,MIA,NE,spread,NE,2.9,GRADED,WIN,2.64
2025,2,2025_02_BUF_NYJ,BUF @ NYJ,NYJ,BUF,spread,NYJ,4.5,GRADED,LOSS,-4.5
2025,2,2025_02_SEA_PIT,SEA @ PIT,PIT,SEA,total,OVER,4.8,GRADED,WIN,4.36
2025,2,2025_02_DEN_IND,DEN @ IND,IND,DEN,spread,IND,5.0,GRADED,WIN,4.55
2025,2,2025_02_PHI_KC,PHI @ KC,KC,PHI,spread,PHI,1.8,GRADED,WIN,1.64
2025,2,2025_02_TB_HOU,TB @ HOU,HOU,TB,spread,TB,2.5,GRADED,WIN,2.27
2025,3,2025_03_MIA_BUF,MIA @ BUF,BUF,MIA,spread,MIA,2.0,GRADED,WIN,1.82
2025,3,2025_03_HOU_JAX,HOU @ JAX,JAX,HOU,spread,JAX,5.0,GRADED,WIN,4.55
2025,3,2025_03_HOU_JAX,HOU @ JAX,JAX,HOU,moneyline,JAX ML,0.1,GRADED,WIN,0.08
2025,3,2025_03_CIN_MIN,CIN @ MIN,MIN,CIN,spread,CIN,2.4,GRADED,LOSS,-2.4
2025,3,2025_03_PIT_NE,PIT @ NE,NE,PIT,spread,NE,2.2,GRADED,LOSS,-2.2
2025,3,2025_03_DAL_CHI,DAL @ CHI,CHI,DAL,spread,DAL,2.4,GRADED,LOSS,-2.4
2025,3,2025_03_KC_NYG,KC @ NYG,NYG,KC,spread,NYG,3.5,GRADED,LOSS,-3.5
2025,4,2025_04_WAS_ATL,WAS @ ATL,ATL,WAS,spread,WAS,2.3,GRADED,LOSS,-2.3
2025,4,2025_04_NO_BUF,NO @ BUF,BUF,NO,spread,NO,2.8,GRADED,WIN,2.55
2025,4,2025_04_TEN_HOU,TEN @ HOU,HOU,TEN,spread,TEN,2.1,GRADED,LOSS,-2.1
2025,4,2025_04_CAR_NE,CAR @ NE,NE,CAR,spread,CAR,1.9,GRADED,LOSS,-1.9
2025,4,2025_04_PHI_TB,PHI @ TB,TB,PHI,spread,TB,2.2,GRADED,LOSS,-2.2
2025,4,2025_04_IND_LA,IND @ LA,LA,IND,spread,IND,2.3,GRADED,LOSS,-2.3
2025,4,2025_04_GB_DAL,GB @ DAL,DAL,GB,spread,DAL,3.9,GRADED,WIN,3.55
2025,4,2025_04_NYJ_MIA,NYJ @ MIA,MIA,NYJ,spread,NYJ,2.7,GRADED,LOSS,-2.7
2025,4,2025_04_CIN_DEN,CIN @ DEN,DEN,CIN,spread,CIN,2.5,GRADED,LOSS,-2.5
2025,5,2025_05_SF_LA,SF @ LA,LA,SF,spread,SF,3.6,GRADED,WIN,3.27
2025,5,2025_05_MIN_CLE,MIN @ CLE,CLE,MIN,total,OVER,4.8,GRADED,WIN,4.36
2025,5,2025_05_HOU_BAL,HOU @ BAL,BAL,HOU,spread,BAL,3.5,GRADED,LOSS,-3.5
2025,5,2025_05_MIA_CAR,MIA @ CAR,CAR,MIA,spread,CAR,1.8,GRADED,WIN,1.64
2025,5,2025_05_DAL_NYJ,DAL @ NYJ,NYJ,DAL,spread,DAL,3.1,GRADED,WIN,2.82
2025,5,2025_05_DET_CIN,DET @ CIN,CIN,DET,spread,CIN,2.0,GRADED,LOSS,-2.0
2025,5,2025_05_DET_CIN,DET @ CIN,CIN,DET,total,UNDER,4.8,GRADED,LOSS,-4.8
2025,5,2025_05_KC_JAX,KC @ JAX,JAX,KC,spread,JAX,5.0,GRADED,WIN,4.55
2025,5,2025_05_KC_JAX,KC @ JAX,JAX,KC,moneyline,JAX ML,0.1,GRADED,WIN,0.16
2025,6,2025_06_CLE_PIT,CLE @ PIT,PIT,CLE,total,OVER,4.8,GRADED,LOSS,-4.8
2025,6,2025_06_CIN_GB,CIN @ GB,GB,CIN,spread,CIN,2.6,GRADED,WIN,2.36
2025,7,2025_07_MIA_CLE,MIA @ CLE,CLE,MIA,spread,MIA,1.8,GRADED,LOSS,-1.8
2025,7,2025_07_MIA_CLE,MIA @ CLE,CLE,MIA,total,OVER,4.8,GRADED,WIN,4.36
2025,7,2025_07_LV_KC,LV @ KC,KC,LV,spread,LV,2.5,GRADED,LOSS,-2.5
2025,7,2025_07_CAR_NYJ,CAR @ NYJ,NYJ,CAR,spread,CAR,3.8,GRADED,WIN,3.45
2025,7,2025_07_NE_TEN,NE @ TEN,TEN,NE,total,OVER,4.8,GRADED,WIN,4.36
2025,7,2025_07_HOU_SEA,HOU @ SEA,SEA,HOU,spread,SEA,2.7,GRADED,WIN,2.45
2025,7,2025_07_HOU_SEA,HOU @ SEA,SEA,HOU,total,OVER,4.8,GRADED,WIN,4.36
2025,8,2025_08_CHI_BAL,CHI @ BAL,BAL,CHI,spread,CHI,2.9,GRADED,LOSS,-2.9
2025,8,2025_08_BUF_CAR,BUF @ CAR,CAR,BUF,spread,CAR,3.7,GRADED,LOSS,-3.7
2025,8,2025_08_CLE_NE,CLE @ NE,NE,CLE,total,OVER,4.8,GRADED,WIN,4.36
2025,8,2025_08_WAS_KC,WAS @ KC,KC,WAS,spread,WAS,3.2,GRADED,LOSS,-3.2
2025,9,2025_09_BAL_MIA,BAL @ MIA,MIA,BAL,spread,MIA,4.7,GRADED,LOSS,-4.7
2025,9,2025_09_BAL_MIA,BAL @ MIA,MIA,BAL,total,UNDER,4.8,GRADED,WIN,4.36
2025,9,2025_09_BAL_MIA,BAL @ MIA,MIA,BAL,moneyline,MIA ML,0.1,GRADED,LOSS,-0.1
2025,9,2025_09_DEN_HOU,DEN @ HOU,HOU,DEN,total,OVER,4.8,GRADED,LOSS,-4.8
2025,9,2025_09_SEA_WAS,SEA @ WAS,WAS,SEA,spread,SEA,1.9,GRADED,WIN,1.73
2025,9,2025_09_ARI_DAL,ARI @ DAL,DAL,ARI,total,UNDER,4.8,GRADED,WIN,4.36
2025,10,2025_10_NYG_CHI,NYG @ CHI,CHI,NYG,spread,CHI,2.7,GRADED,LOSS,-2.7
2025,10,2025_10_NYG_CHI,NYG @ CHI,CHI,NYG,moneyline,CHI ML,0.1,GRADED,WIN,0.05
2025,10,2025_10_JAX_HOU,JAX @ HOU,HOU,JAX,total,OVER,4.8,GRADED,WIN,4.36
2025,10,2025_10_BUF_MIA,BUF @ MIA,MIA,BUF,total,UNDER,4.8,GRADED,WIN,4.36
2025,10,2025_10_BAL_MIN,BAL @ MIN,MIN,BAL,spread,MIN,2.3,GRADED,LOSS,-2.3
2025,10,2025_10_NE_TB,NE @ TB,TB,NE,spread,NE,1.8,GRADED,WIN,1.64
2025,10,2025_10_ARI_SEA,ARI @ SEA,SEA,ARI,spread,SEA,1.9,GRADED,WIN,1.73
2025,10,2025_10_PHI_GB,PHI @ GB,GB,PHI,spread,GB,1.9,GRADED,LOSS,-1.9
2025,11,2025_11_NYJ_NE,NYJ @ NE,NE,NYJ,spread,NYJ,2.7,GRADED,LOSS,-2.7
2025,11,2025_11_CHI_MIN,CHI @ MIN,MIN,CHI,spread,CHI,2.8,GRADED,WIN,2.55
2025,11,2025_11_GB_NYG,GB @ NYG,NYG,GB,total,OVER,4.8,GRADED,WIN,4.36
2025,11,2025_11_HOU_TEN,HOU @ TEN,TEN,HOU,total,OVER,4.8,GRADED,LOSS,-4.8
2025,11,2025_11_BAL_CLE,BAL @ CLE,CLE,BAL,total,OVER,4.8,GRADED,WIN,4.36
2025,11,2025_11_KC_DEN,KC @ DEN,DEN,KC,spread,DEN,3.6,GRADED,WIN,3.27
2025,11,2025_11_DET_PHI,DET @ PHI,PHI,DET,spread,DET,1.9,GRADED,LOSS,-1.9
2025,12,2025_12_BUF_HOU,BUF @ HOU,HOU,BUF,spread,HOU,1.9,GRADED,WIN,1.73
