season,week,game_id,matchup,home,away,type,pick_team,line,fair_value,units,status,result,profit
2025,1,2025_01_TB_ATL,TB @ ATL,ATL,TB,moneyline,TB ML,TB -115,TB -144,0.4,GRADED,WIN,0.35
2025,1,2025_01_LV_NE,LV @ NE,NE,LV,spread,LV,LV +2.5,LV -2.4,0.9,GRADED,WIN,0.82
2025,1,2025_01_DET_GB,DET @ GB,GB,DET,moneyline,GB ML,GB -120,GB -148,0.3,GRADED,WIN,0.25
2025,2,2025_02_NE_MIA,NE @ MIA,MIA,NE,spread,NE,NE +1.5,NE -3.4,1.0,GRADED,WIN,0.91
2025,2,2025_02_NE_MIA,NE @ MIA,MIA,NE,moneyline,NE ML,NE +105,NE -202,1.0,GRADED,WIN,1.05
2025,2,2025_02_SF_NO,SF @ NO,NO,SF,spread,NO,NO +3.0,NO -0.9,0.7,GRADED,LOSS,-0.7
2025,2,2025_02_LA_TEN,LA @ TEN,TEN,LA,spread,LA,LA -5.5,LA -9.0,0.6,GRADED,WIN,0.55
2025,2,2025_02_CAR_ARI,CAR @ ARI,ARI,CAR,spread,CAR,CAR +7.0,CAR +0.4,1.3,GRADED,WIN,1.18
2025,2,2025_02_DEN_IND,DEN @ IND,IND,DEN,spread,IND,IND +2.5,IND -4.6,1.4,GRADED,WIN,1.27
2025,2,2025_02_DEN_IND,DEN @ IND,IND,DEN,moneyline,IND ML,IND +110,IND -136,0.6,GRADED,WIN,0.66
2025,2,2025_02_PHI_KC,PHI @ KC,KC,PHI,total,UNDER,UNDER 46.5,UNDER 41.6,1.2,GRADED,WIN,1.09
2025,2,2025_02_PHI_KC,PHI @ KC,KC,PHI,moneyline,PHI ML,PHI -122,PHI -246,1.0,GRADED,WIN,0.82
2025,2,2025_02_TB_HOU,TB @ HOU,HOU,TB,spread,TB,TB +2.5,TB -2.2,0.9,GRADED,WIN,0.82
2025,2,2025_02_TB_HOU,TB @ HOU,HOU,TB,moneyline,TB ML,TB +114,TB -137,0.6,GRADED,WIN,0.68
2025,2,2025_02_LAC_LV,LAC @ LV,LV,LAC,total,UNDER,UNDER 46.5,UNDER 41.6,1.2,GRADED,WIN,1.09
2025,3,2025_03_GB_CLE,GB @ CLE,CLE,GB,spread,GB,GB -8.5,GB -13.3,0.9,GRADED,LOSS,-0.9
2025,3,2025_03_HOU_JAX,HOU @ JAX,JAX,HOU,spread,JAX,JAX -1.5,JAX -5.5,0.8,GRADED,WIN,0.73
2025,3,2025_03_HOU_JAX,HOU @ JAX,JAX,HOU,moneyline,JAX ML,JAX -125,JAX -324,1.4,GRADED,WIN,1.12
2025,3,2025_03_PIT_NE,PIT @ NE,NE,PIT,total,UNDER,UNDER 44.5,UNDER 40.0,1.1,GRADED,WIN,1.0
2025,3,2025_03_PIT_NE,PIT @ NE,NE,PIT,moneyline,PIT ML,PIT -120,PIT -208,0.8,GRADED,WIN,0.67
2025,3,2025_03_LA_PHI,LA @ PHI,PHI,LA,total,OVER,OVER 45.5,OVER 50.5,1.3,GRADED,WIN,1.18
2025,3,2025_03_NYJ_TB,NYJ @ TB,TB,NYJ,total,OVER,OVER 43.5,OVER 48.7,1.3,GRADED,WIN,1.18
2025,3,2025_03_LV_WAS,LV @ WAS,WAS,LV,spread,LV,LV +2.5,LV -2.5,1.0,GRADED,LOSS,-1.0
2025,3,2025_03_DEN_LAC,DEN @ LAC,LAC,DEN,spread,DEN,DEN +2.5,DEN -4.3,1.3,GRADED,LOSS,-1.3
2025,3,2025_03_DAL_CHI,DAL @ CHI,CHI,DAL,spread,DAL,DAL -1.5,DAL -5.9,0.8,GRADED,LOSS,-0.8
2025,3,2025_03_DAL_CHI,DAL @ CHI,CHI,DAL,moneyline,DAL ML,DAL -125,DAL -191,0.7,GRADED,LOSS,-0.7
2025,3,2025_03_ARI_SF,ARI @ SF,SF,ARI,moneyline,SF ML,SF -125,SF -177,0.6,GRADED,WIN,0.48
2025,4,2025_04_SEA_ARI,SEA @ ARI,ARI,SEA,moneyline,SEA ML,SEA -125,SEA -213,0.8,GRADED,WIN,0.64
2025,4,2025_04_MIN_PIT,MIN @ PIT,PIT,MIN,spread,PIT,PIT +2.5,PIT -4.7,1.4,GRADED,WIN,1.27
2025,4,2025_04_MIN_PIT,MIN @ PIT,PIT,MIN,moneyline,PIT ML,PIT +124,PIT -152,0.8,GRADED,WIN,0.99
2025,4,2025_04_WAS_ATL,WAS @ ATL,ATL,WAS,spread,WAS,WAS +2.5,WAS -2.2,0.9,GRADED,LOSS,-0.9
2025,4,2025_04_CLE_DET,CLE @ DET,DET,CLE,spread,DET,DET -10.0,DET -15.2,1.0,GRADED,WIN,0.91
2025,4,2025_04_TEN_HOU,TEN @ HOU,HOU,TEN,total,OVER,OVER 39.5,OVER 44.0,1.1,GRADED,LOSS,-1.1
2025,4,2025_04_BAL_KC,BAL @ KC,KC,BAL,spread,KC,KC +2.5,KC -1.2,0.7,GRADED,WIN,0.64
