season,week,game_id,matchup,home,away,type,pick_team,units,status,result,profit
2025,1,2025_01_LV_NE,LV @ NE,NE,LV,spread,LV,2.7,GRADED,WIN,2.45
2025,2,2025_02_NE_MIA,NE @ MIA,MIA,NE,spread,NE,2.7,GRADED,WIN,2.45
2025,2,2025_02_SF_NO,SF @ NO,NO,SF,spread,NO,2.1,GRADED,LOSS,-2.1
2025,2,2025_02_LA_TEN,LA @ TEN,TEN,LA,spread,LA,1.8,GRADED,WIN,1.64
2025,2,2025_02_CAR_ARI,CAR @ ARI,ARI,CAR,spread,CAR,3.7,GRADED,WIN,3.36
2025,2,2025_02_DEN_IND,DEN @ IND,IND,DEN,spread,IND,4.0,GRADED,WIN,3.64
2025,2,2025_02_PHI_KC,PHI @ KC,KC,PHI,total,UNDER,4.8,GRADED,WIN,4.36
2025,2,2025_02_TB_HOU,TB @ HOU,HOU,TB,spread,TB,2.6,GRADED,WIN,2.36
2025,2,2025_02_LAC_LV,LAC @ LV,LV,LAC,total,UNDER,4.8,GRADED,WIN,4.36
2025,3,2025_03_GB_CLE,GB @ CLE,CLE,GB,spread,GB,2.6,GRADED,LOSS,-2.6
2025,3,2025_03_HOU_JAX,HOU @ JAX,JAX,HOU,spread,JAX,2.2,GRADED,WIN,2.0
2025,3,2025_03_HOU_JAX,HOU @ JAX,JAX,HOU,moneyline,JAX ML,0.1,GRADED,WIN,0.08
2025,3,2025_03_LA_PHI,LA @ PHI,PHI,LA,total,OVER,4.8,GRADED,WIN,4.36
2025,3,2025_03_NYJ_TB,NYJ @ TB,TB,NYJ,total,OVER,4.8,GRADED,WIN,4.36
2025,3,2025_03_LV_WAS,LV @ WAS,WAS,LV,spread,LV,2.8,GRADED,LOSS,-2.8
2025,3,2025_03_DEN_LAC,DEN @ LAC,LAC,DEN,spread,DEN,3.8,GRADED,LOSS,-3.8
2025,3,2025_03_DAL_CHI,DAL @ CHI,CHI,DAL,spread,DAL,2.4,GRADED,LOSS,-2.4
2025,4,2025_04_MIN_PIT,MIN @ PIT,PIT,MIN,spread,PIT,4.1,GRADED,WIN,3.73
2025,4,2025_04_WAS_ATL,WAS @ ATL,ATL,WAS,spread,WAS,2.6,GRADED,LOSS,-2.6
2025,4,2025_04_CLE_DET,CLE @ DET,DET,CLE,spread,DET,2.9,GRADED,WIN,2.64
2025,4,2025_04_CLE_DET,CLE @ DET,DET,CLE,moneyline,DET ML,0.1,GRADED,WIN,0.02
2025,4,2025_04_BAL_KC,BAL @ KC,KC,BAL,spread,KC,1.9,GRADED,WIN,1.73
2025,5,2025_05_MIN_CLE,MIN @ CLE,CLE,MIN,spread,CLE,2.1,GRADED,LOSS,-2.1
2025,5,2025_05_HOU_BAL,HOU @ BAL,BAL,HOU,spread,BAL,2.1,GRADED,LOSS,-2.1
2025,5,2025_05_MIA_CAR,MIA @ CAR,CAR,MIA,spread,CAR,1.9,GRADED,WIN,1.73
2025,5,2025_05_DEN_PHI,DEN @ PHI,PHI,DEN,spread,DEN,1.9,GRADED,WIN,1.73
2025,5,2025_05_DEN_PHI,DEN @ PHI,PHI,DEN,total,OVER,4.8,GRADED,LOSS,-4.8
2025,5,2025_05_WAS_LAC,WAS @ LAC,LAC,WAS,spread,WAS,4.5,GRADED,WIN,4.09
2025,6,2025_06_LA_BAL,LA @ BAL,BAL,LA,spread,LA,1.9,GRADED,WIN,1.73
2025,6,2025_06_NE_NO,NE @ NO,NO,NE,spread,NE,2.9,GRADED,WIN,2.64
2025,6,2025_06_CLE_PIT,CLE @ PIT,PIT,CLE,spread,CLE,1.9,GRADED,LOSS,-1.9
2025,6,2025_06_CLE_PIT,CLE @ PIT,PIT,CLE,total,OVER,4.8,GRADED,LOSS,-4.8
2025,7,2025_07_PIT_CIN,PIT @ CIN,CIN,PIT,spread,PIT,2.7,GRADED,LOSS,-2.7
2025,7,2025_07_PIT_CIN,PIT @ CIN,CIN,PIT,moneyline,PIT ML,0.1,GRADED,LOSS,-0.1
2025,7,2025_07_NO_CHI,NO @ CHI,CHI,NO,spread,NO,2.2,GRADED,LOSS,-2.2
2025,7,2025_07_NE_TEN,NE @ TEN,TEN,NE,spread,NE,2.9,GRADED,WIN,2.64
2025,7,2025_07_WAS_DAL,WAS @ DAL,DAL,WAS,spread,WAS,2.1,GRADED,LOSS,-2.1
2025,7,2025_07_WAS_DAL,WAS @ DAL,DAL,WAS,moneyline,WAS ML,0.1,GRADED,LOSS,-0.1
2025,7,2025_07_HOU_SEA,HOU @ SEA,SEA,HOU,spread,SEA,2.0,GRADED,WIN,1.82
2025,7,2025_07_HOU_SEA,HOU @ SEA,SEA,HOU,moneyline,SEA ML,0.1,GRADED,WIN,0.06
2025,8,2025_08_MIN_LAC,MIN @ LAC,LAC,MIN,spread,LAC,2.0,GRADED,WIN,1.82
2025,8,2025_08_CHI_BAL,CHI @ BAL,BAL,CHI,spread,CHI,2.8,GRADED,LOSS,-2.8
2025,8,2025_08_SF_HOU,SF @ HOU,HOU,SF,spread,SF,2.4,GRADED,LOSS,-2.4
