feature,gain,rank,tier
diff_ats_win_L5,6730.03271484375,1.0,CRITICAL
diff_ats_win_L10,6570.6943359375,2.0,CRITICAL
diff_points_scored_season,6479.87548828125,3.0,CRITICAL
diff_ats_win_season,6150.67529296875,4.0,CRITICAL
diff_points_scored_L10,5555.40087890625,5.0,CRITICAL
diff_off_edsr_season,4486.39892578125,6.0,CRITICAL
diff_off_edsr_L10,3899.766845703125,7.0,CRITICAL
diff_points_scored_L5,3870.5400390625,8.0,CRITICAL
diff_points_allowed_season,2983.0498046875,9.0,CRITICAL
diff_su_win_L5,2746.93701171875,10.0,CRITICAL
diff_su_win_season,2632.31982421875,11.0,CRITICAL
diff_su_win_L10,2584.43408203125,12.0,CRITICAL
away_ats_win_L5,2538.4423828125,13.0,CRITICAL
diff_points_scored_L3,2503.2216796875,14.0,CRITICAL
home_off_sack_rate_L10,2455.318115234375,15.0,CRITICAL
diff_off_epa_L10,2420.26123046875,16.0,CRITICAL
diff_ats_win_L3,2364.7548828125,17.0,CRITICAL
away_off_epa_season,2363.2177734375,18.0,CRITICAL
away_points_scored_season,2321.702880859375,19.0,CRITICAL
away_turnovers_lost_L10,2205.692138671875,20.0,CRITICAL
diff_off_edsr_L5,2175.43359375,21.0,CRITICAL
diff_def_epa_season,2147.8193359375,22.0,CRITICAL
home_ats_win_L10,2140.798095703125,23.0,CRITICAL
away_def_ypp_season,2120.32177734375,24.0,CRITICAL
home_points_allowed_L5,2106.53466796875,25.0,CRITICAL
home_turnovers_gained_season,2074.4091796875,26.0,CRITICAL
diff_over_hit_season,2065.867919921875,27.0,CRITICAL
home_points_scored_L10,2059.612548828125,28.0,CRITICAL
diff_off_ypp_season,2021.7393798828125,29.0,CRITICAL
home_off_epa_season,2021.2843017578125,30.0,CRITICAL
home_off_pass_epa_season,2004.056640625,31.0,CRITICAL
home_def_pass_epa_L10,1978.23046875,32.0,CRITICAL
home_turnovers_lost_L3,1976.507080078125,33.0,CRITICAL
